x,y,z,t,u
0.717649957,0.715685513,0.197995386,0.258508446,0.314973749
0.703415089,0.552644558,0.321584207,0.622486899,0.096130291
0.166504364,0.067189892,0.805106836,0.284271808,0.138083828
0.461447228,0.125865042,0.622919891,0.506247164,0.072936972
0.951003868,0.43452411,0.877049762,0.756606444,0.061018815
0.244728373,0.542654671,0.62095139,0.693785964,0.064018008
0.508492119,0.460412376,0.244317143,0.900519621,0.033384074
0.514668142,0.78474881,0.695542105,0.144233704,0.49819754
0.968308218,0.640948365,0.959677115,0.541984174,0.132817076
0.667132104,0.972278041,0.035365765,0.972202003,0.038054446
0.46893261,0.459806065,0.12624322,0.556577161,0.086836868
0.665020145,0.570589498,0.591712257,0.913801041,0.040417176
0.563481584,0.318349378,0.976585507,0.576436183,0.088887539
0.789884097,0.738149914,0.57943571,0.665713664,0.088839893
0.590610395,0.507259319,0.828407907,0.999172211,0.022586005
0.212208887,0.77609794,0.202571632,0.279350335,0.267488067
0.774450353,0.201003016,0.640780189,0.956291609,0.021235623
0.844888843,0.979699641,0.915289756,0.710088993,0.090394265
0.398463067,0.297201559,0.099199318,0.589365147,0.063675432
0.350873644,0.516007741,0.245017108,0.424426891,0.144091184
0.944833956,0.79019447,0.82496422,0.594833708,0.124555623
0.423314956,0.426291301,0.943527772,0.585932446,0.067046736
0.479453505,0.368260314,0.315991196,0.638699603,0.053960973
0.309925824,0.778423865,0.245024681,0.257525805,0.297615847
0.11857859,0.361415551,0.361883437,0.34628941,0.154347439
0.664773879,0.261874807,0.994659341,0.76473749,0.044304313
0.679899532,0.316749939,0.085263804,0.716811331,0.043729968
0.175882169,0.177396383,0.303583599,0.879317854,0.021202002
0.282283919,0.147189621,0.077438474,0.365757338,0.129609042
0.415298665,0.508744353,0.179082534,0.338307636,0.211597861
0.794495723,0.00206536,0.083955399,0.450330753,0.103007961
0.00097697,0.774216504,0.793595664,0.587721189,0.089384657
0.935014325,0.159711131,0.755938441,0.656107593,0.065900399
0.834046419,0.092516366,0.417286416,0.308291962,0.184609959
0.381260866,0.162959121,0.396802931,0.384216426,0.136979877
0.769528503,0.700158858,0.523014829,0.116035346,0.526714596
0.99940996,0.364658188,0.485855789,0.446119137,0.139022983
0.161130765,0.588064262,0.261756099,0.361888694,0.181020935
0.932860995,0.394802291,0.082860571,0.033797673,0.687153605
0.365221098,0.429646144,0.16791383,0.672294417,0.059615337
0.744855293,0.202961604,0.460769366,0.892265628,0.023691596
0.804204135,0.015423482,0.60994058,0.930153382,0.026155033
0.969352127,0.843758716,0.138884743,0.65246746,0.101006538
0.607671531,0.18409911,0.565090455,0.500540893,0.082692885
0.168290111,0.391137623,0.631105176,0.291877344,0.207983516
0.282281984,0.309207446,0.872269485,0.902177402,0.023442341
0.994025635,0.953101256,0.938643034,0.156768642,0.440589697
0.704835952,0.015647086,0.39996519,0.568999333,0.051551116
0.053432855,0.297405389,0.050651177,0.325161749,0.121609184
0.666672949,0.72724606,0.810769417,0.282655262,0.242233051
0.115535805,0.710096007,0.699145556,0.361434076,0.184900285
0.327528787,0.624695058,0.495425259,0.050604279,0.714923203
0.352227706,0.975660879,0.980861928,0.424084832,0.186244508
0.0115346,0.684288673,0.8037092,0.933059868,0.030143517
0.131014407,0.787043457,0.830378388,0.643164297,0.070565362
0.437138223,0.786729407,0.310531041,0.421290176,0.137742759
0.325881828,0.534034736,0.761386951,0.13677636,0.46158729
0.750869407,0.437234174,0.075431078,0.204094414,0.349721152
0.073817569,0.021500744,0.341080197,0.261190762,0.166025266
0.137233144,0.108360472,0.993944427,0.644522712,0.042426887
0.398703392,0.322444289,0.349571209,0.679072663,0.051821693
0.728832441,0.944543759,0.426054146,0.867922526,0.056415288
0.100357107,0.37620922,0.49339821,0.6494658,0.049335406
0.608725064,0.415051158,0.983334837,0.522422028,0.091839081
0.282145043,0.025989476,0.629987355,0.031420915,0.563433661
0.341334303,0.318831326,0.864829967,0.018252874,0.82806363
0.660357984,0.119168953,0.869026156,0.313214219,0.179780588
0.749975112,0.58732202,0.618215671,0.287401206,0.281489368
0.101402813,0.459653491,0.003376652,0.193004641,0.254276641
0.204623117,0.391599364,0.32052056,0.569876645,0.066104959
0.501902622,0.730172457,0.417355461,0.469087673,0.134170664
0.000872735,0.619204475,0.816507476,0.554060123,0.067097235
0.374844282,0.703363762,0.062554802,0.868004182,0.047497176
0.505294972,0.968102315,0.666696963,0.643384424,0.078639047
0.617585342,0.86373571,0.318066596,0.987782164,0.038509252
0.790831007,0.215497189,0.298478173,0.516794543,0.083899073
0.241137594,0.589798467,0.54326538,0.732516335,0.053591004
0.836208746,0.883064429,0.727335997,0.6873323,0.088391181
0.710594078,0.831719348,0.111910592,0.246682801,0.31392289
0.312541923,0.526207071,0.216667675,0.745168032,0.058088242
0.313737817,0.861406679,0.601361196,0.688023103,0.079229245
0.336165119,0.320253503,0.899410405,0.737724561,0.041375945
0.186206265,0.230959291,0.014433105,0.953509959,0.017503388
0.078983251,0.739466996,0.242195683,0.634037609,0.064331106
0.935493141,0.274432735,0.71170347,0.862482503,0.033464405
0.133640772,0.337271031,0.327378849,0.563924439,0.075698555
0.649330467,0.388507305,0.077406483,0.522807904,0.111494095
0.047484014,0.884037847,0.481941766,0.382086755,0.159009488
0.511343096,0.385837448,0.484761369,0.628034203,0.0777433
0.003803626,0.772667859,0.984933665,0.545861429,0.089542305
0.419165911,0.528357744,0.544707194,0.213013066,0.343593256
0.85178836,0.108652625,0.575202755,0.340700424,0.153611994
0.399573925,0.721852318,0.206482725,0.8337891,0.044096986
0.49862267,0.428021634,0.974949071,0.802558507,0.047662088
0.773642849,0.007440024,0.060279733,0.081339376,0.460600178
0.505304088,0.384088443,0.592511245,0.128515329,0.390022344
0.221262869,0.550820677,0.936117982,0.503553415,0.111279586
0.818749128,0.128142202,0.002587411,0.144197621,0.37252222
0.205680852,0.027128021,0.268183965,0.577987848,0.058003839
0.103399689,0.691507641,0.681796344,0.394343044,0.159514835
0.523206647,0.991487829,0.494269497,0.827205229,0.06804918
0.74170763,0.004315436,0.249360736,0.796342629,0.034335129
0.470989017,0.307029591,0.767560868,0.749160798,0.036815255
0.988025117,0.610916056,0.913025766,0.078078841,0.566660683
0.923105493,0.774773016,0.490638056,0.598384503,0.088141238
0.994765461,0.465282416,0.054437783,0.069657056,0.527416242
0.655955941,0.34649856,0.354536558,0.503265483,0.114828528
0.907135152,0.210405941,0.69281747,0.836644759,0.041286431
0.635866692,0.411685045,0.289527511,0.271244936,0.211798154
0.381688603,0.775876498,0.029895896,0.540543661,0.125683183
0.665673946,0.771968359,0.487722615,0.257363443,0.285873632
0.471858259,0.50191921,0.61475397,0.347057966,0.208040187
0.302736524,0.999550501,0.359766829,0.773524468,0.059463463
0.261223022,0.541567551,0.832525287,0.190342202,0.345481981
0.125539302,0.988233984,0.669240468,0.578919772,0.097144598
0.02920034,0.751668469,0.71570388,0.453948285,0.126057235
0.943986589,0.470456927,0.304015655,0.147644548,0.441439719
0.166412018,0.676695822,0.619424842,0.124998011,0.46959011
0.468798137,0.501709949,0.997353612,0.891700054,0.029630139
0.608482647,0.023192151,0.900243601,0.632198873,0.054543831
0.064118212,0.462989069,0.365604873,0.795034871,0.031396145
0.655496274,0.953318646,0.859046107,0.072272174,0.630879556
0.828644699,0.987297527,0.374589095,0.615066599,0.10041252
0.828515214,0.247190248,0.570075151,0.869351925,0.038304316
0.382147853,0.491213106,0.545154643,0.458611209,0.137667943
0.775902636,0.709965367,0.783428049,0.307403176,0.27606842
0.802064553,0.49523154,0.588336685,0.514374645,0.121364401
0.643107479,0.481802549,0.555224544,0.034206982,0.728084223
0.287020272,0.876533334,0.643170624,0.162284923,0.426892076
0.650490666,0.623475385,0.170398152,0.725378541,0.069803526
0.8958047,0.585640243,0.805199165,0.831072356,0.040707246
0.640924048,0.767207316,0.15614812,0.488950323,0.152929829
0.912151063,0.691829853,0.0973437,0.664951677,0.096255921
0.436523896,0.07247171,0.153091994,0.475105134,0.087484512
0.810281679,0.87078575,0.174010353,0.730790359,0.083618386
0.286867885,0.012105416,0.194335668,0.064703267,0.461772297
0.980352024,0.380151852,0.332901483,0.332968313,0.186329879
0.298138844,0.435831583,0.353646599,0.788855762,0.047644473
0.170965797,0.046462496,0.243930988,0.209559861,0.192895572
0.962079757,0.231691919,0.514200689,0.203414499,0.303983145
0.410574667,0.14705719,0.898537425,0.046524483,0.576406135
0.756200851,0.04591459,0.991293404,0.442778472,0.110682518
0.787055215,0.193267944,0.49508775,0.335253573,0.164002013
0.383501928,0.50963042,0.254648525,0.806125996,0.03651129
0.707294732,0.534101793,0.435020132,0.328010459,0.195501744
0.724189139,0.757971825,0.026653888,0.790245668,0.058958362
0.064930504,0.175673891,0.440351518,0.087609955,0.387207594
0.097086331,0.925736093,0.855210436,0.209246415,0.251955086
0.223612926,0.453770817,0.937515749,0.63869319,0.050942942
0.330077552,0.608125666,0.106120738,0.337485432,0.190233805
0.451224708,0.85393472,0.027473658,0.244933855,0.271519932
0.071678871,0.070245389,0.794877967,0.919326185,0.021371581
0.194918485,0.344241787,0.975899326,0.025280184,0.751681317
0.175396901,0.577139059,0.473483229,0.499978902,0.114489517
0.698799457,0.445843697,0.761355738,0.704658271,0.04893189
0.548757675,0.005731193,0.196737082,0.412404794,0.113257945
0.65433067,0.887933008,0.663755778,0.643066414,0.099154208
0.210292903,0.886740459,0.313620509,0.711410702,0.062499528
0.728369156,0.040466655,0.462093162,0.784104159,0.038340831
0.876593744,0.57626063,0.249544271,0.234195476,0.338249145
0.114254827,0.013035213,0.076356324,0.195781287,0.210881167
0.333656296,0.991328669,0.306119053,0.201501443,0.3669468
0.790058246,0.131035439,0.72501993,0.669903504,0.050616745
0.827186466,0.781080813,0.016581972,0.342827227,0.255426507
0.715692922,0.728028337,0.795893539,0.645304624,0.097840085
0.138440013,0.807898346,0.435064661,0.239607982,0.295815544
0.104500222,0.613624809,0.661018671,0.767345894,0.039940845
0.237050241,0.196784336,0.856875355,0.012341892,0.758948448
0.962494359,0.901052736,0.164334585,0.561769226,0.131214778
0.076826296,0.66096898,0.724363667,0.911779904,0.035060408
0.377869375,0.173904452,0.030202248,0.331560792,0.169378635
0.791977322,0.586725029,0.17112648,0.522855526,0.096684995
0.203191141,0.679836256,0.110537268,0.467877514,0.134970495
0.783002227,0.132215576,0.728095702,0.968422489,0.026809889
0.895212349,0.637268281,0.236232627,0.47050401,0.127985508
0.454809921,0.619842109,0.296148686,0.364380453,0.175071592
0.768259718,0.156381811,0.732829317,0.467211213,0.103928633
0.422032461,0.974592214,0.154115636,0.494225429,0.158865521
0.279447723,0.397176839,0.107327063,0.64126297,0.069329574
0.863114927,0.248944684,0.484625568,0.03381001,0.637896937
0.536863911,0.759509274,0.422993881,0.237158575,0.344981041
0.212550482,0.696701113,0.106128986,0.655204758,0.074307735
0.929963861,0.417412389,0.898303216,0.444023323,0.148134008
0.757560741,0.191966516,0.452618267,0.714562109,0.050875524
0.348403602,0.116372012,0.151456691,0.387192444,0.103306285
0.026439504,0.105114986,0.649582587,0.339717281,0.116666936
0.933187876,0.025106665,0.287738865,0.487560688,0.076003456
0.998816468,0.43055814,0.792176656,0.778445522,0.051137648
0.932513429,0.624589069,0.588836592,0.40542831,0.190267654
0.870662015,0.952880655,0.961929269,0.580509597,0.114271437
0.080573078,0.450931404,0.452263727,0.016234912,0.647513412
0.559417094,0.35224774,0.626054655,0.106406379,0.46362747
0.477693242,0.292441861,0.703246864,0.285104338,0.201764467
0.318831926,0.15969978,0.002147465,0.054228289,0.602747924
0.20970519,0.677969483,0.940893277,0.653162272,0.078230764
0.444961033,0.403918428,0.444005606,0.905646576,0.034595398
0.609493245,0.284527766,0.7429871,0.605523457,0.077810531
0.793017377,0.75517968,0.518362579,0.757684345,0.075972545
0.097777483,0.754285525,0.734259903,0.928655952,0.03688891
0.771134192,0.947840886,0.191893118,0.575846153,0.129127655
0.03162738,0.583347739,0.851439964,0.529654948,0.070445123
0.679036986,0.408344289,0.39521662,0.798814621,0.046165617
0.87789789,0.747204365,0.691079343,0.170243373,0.444756155
0.864854625,0.957878751,0.695243568,0.928262445,0.039257871
0.36692371,0.85705589,0.964869832,0.980713796,0.033123328
0.15898174,0.280833929,0.917907549,0.927624936,0.025953726
0.88939664,0.334643943,0.198335257,0.419688678,0.12069857
0.416324911,0.219742069,0.792040569,0.031784421,0.653982445
0.14627281,0.840913804,0.842779838,0.622785874,0.07958246
0.759356872,0.642205063,0.184619493,0.530498454,0.106591029
0.398369671,0.738206259,0.195245184,0.269440192,0.257165373
0.003943867,0.2940399,0.700387041,0.302635209,0.16923975
0.471697166,0.859687672,0.435329718,0.826428134,0.045769291
0.946606983,0.983456533,0.34848856,0.713180467,0.086933032
0.715629397,0.230611738,0.14049519,0.454890306,0.10920152
0.429598426,0.078488128,0.529293508,0.813355244,0.024993439
0.511145467,0.649071263,0.40033467,0.972060886,0.037585559
0.134289142,0.870018884,0.383988254,0.968807493,0.03578282
0.549443728,0.526232871,0.8878609,0.614180606,0.068494867
0.692158555,0.808828276,0.275969125,0.898563982,0.042416892
0.845918043,0.675404106,0.617722171,0.744820215,0.070297649
0.14332742,0.420802346,0.818563615,0.682783202,0.048097619
0.590747368,0.669434415,0.812282885,0.31679509,0.212775809
0.228170479,0.258321643,0.451736028,0.554290553,0.065666276
0.959793637,0.042903652,0.237346213,0.169914801,0.299330647
0.478701335,0.526650464,0.768097478,0.544969317,0.105948883
0.539346823,0.939321225,0.797721524,0.6480582,0.083263009
0.723153637,0.143199099,0.265629333,0.204233346,0.232417353
0.982831954,0.495030134,0.272615563,0.798226082,0.044293834
0.380377477,0.344064737,0.116928206,0.456735578,0.116875639
0.884136533,0.831829958,0.496367733,0.848436817,0.057976185
0.249852827,0.506179635,0.641237154,0.441947636,0.135986648
0.672629979,0.440294755,0.361465649,0.346426591,0.211034828
0.373297816,0.702844205,0.231356384,0.019407468,0.805578523
0.762272469,0.233727628,0.185325746,0.353313463,0.174840614
0.832287996,0.872620607,0.487415509,0.389589583,0.202442909
0.460954107,0.103265804,0.829767174,0.906188432,0.019296116
0.741605194,0.966742817,0.107174298,0.818153549,0.073645867
0.500449609,0.217090066,0.139346576,0.907701705,0.029747647
0.162205852,0.714735883,0.977288663,0.441171021,0.120456319
0.268169608,0.62830573,0.584917556,0.509166344,0.107614062
0.739638253,0.61264466,0.443390185,0.953176291,0.038222257
0.712771576,0.360834611,0.863773993,0.258508282,0.255479843
0.243751,0.846121778,0.387087635,0.234239204,0.277473546
0.949511023,0.786582682,0.368184409,0.65858176,0.088504737
0.593928963,0.375274768,0.757825707,0.599700262,0.069755553
0.920028297,0.118639132,0.756783025,0.884048376,0.03360112
0.118556721,0.187921419,0.511699371,0.476033865,0.070731689
0.428586148,0.44411597,0.546195087,0.335639648,0.203011126
0.02538222,0.235556121,0.906832184,0.522221559,0.075780353
0.017829397,0.140453151,0.762335702,0.080349459,0.412217632
0.795658875,0.194279099,0.863688039,0.684340923,0.057305985
0.612211712,0.828515916,0.896645308,0.287231338,0.244008696
0.842730106,0.767005383,0.007714592,0.396172146,0.208374859
0.022638687,0.491069758,0.094565575,0.076948147,0.427765039
0.942960848,0.474679045,0.324324776,0.530252293,0.098003231
0.885695753,0.90575466,0.927271825,0.920864308,0.040758349
0.137626209,0.462534676,0.329904878,0.815650023,0.041313728
0.962539271,0.071613645,0.054267351,0.910522336,0.028950818
0.021187737,0.120439577,0.754409815,0.455831707,0.084532522
0.619940308,0.224505352,0.817542956,0.040675035,0.66993172
0.214249956,0.440996795,0.233786488,0.229825338,0.272633075
0.075424092,0.055975749,0.155490222,0.385778497,0.078819382
0.772868368,0.80262891,0.977838396,0.891910461,0.054022361
0.731958121,0.497377343,0.174546227,0.848792364,0.043776335
0.837702726,0.205155726,0.269915126,0.250584126,0.250022038
0.295425274,0.968821041,0.46307944,0.369069482,0.177830725
0.649958307,0.533237148,0.112705999,0.646337374,0.08557751
0.088599252,0.166510768,0.262176353,0.205284866,0.21590431
0.607610852,0.170044636,0.531731446,0.875156863,0.024935797
0.924539816,0.819167473,0.04981968,0.162114114,0.413256854
0.203410203,0.757612198,0.298033947,0.263039332,0.275571132
0.314755668,0.379621522,0.855172724,0.905714118,0.03030513
0.261905001,0.060431004,0.884423774,0.856332202,0.023598642
0.100961902,0.65677399,0.176661785,0.974856304,0.027669851
0.32937881,0.218870803,0.016702361,0.201524942,0.272909518
0.172627749,0.792576281,0.929576224,0.038994475,0.601487229
0.376105868,0.689331949,0.003367849,0.518204935,0.109693164
0.987630953,0.622296525,0.618512418,0.845721062,0.056916229
0.080738394,0.005950065,0.8421468,0.347858801,0.093441011
0.28228824,0.639171685,0.159130762,0.355106541,0.160734953
0.475310075,0.202738491,0.191377748,0.402381108,0.135953078
0.051785868,0.086813231,0.485409903,0.068051767,0.428078343
0.525924776,0.761101156,0.318864024,0.223621602,0.368523855
0.631439377,0.066614187,0.565764962,0.120114167,0.408381809
0.314083217,0.594997645,0.660214175,0.353968822,0.192450305
0.08069914,0.845425649,0.820579953,0.926835092,0.03437037
0.237061032,0.444481428,0.35274925,0.694091874,0.050266396
0.649355568,0.985252727,0.169416793,0.037521129,0.692195383
0.234064669,0.314339192,0.288331936,0.452479856,0.095144424
0.764069479,0.675834957,0.17500479,0.513955861,0.143737576
0.427079733,0.29830276,0.527681524,0.059315052,0.586001306
0.236616976,0.124048887,0.924946871,0.843964496,0.023176658
0.44795112,0.79338211,0.25571006,0.276562049,0.282658897
0.770134527,0.514011723,0.862306902,0.749817985,0.065810331
0.509357205,0.686461122,0.751264842,0.218852879,0.365831188
0.411694485,0.899916157,0.160758918,0.475867216,0.125447874
0.043631374,0.071020488,0.899835001,0.795416525,0.027855502
0.587689166,0.12038809,0.549162619,0.809862128,0.030598847
0.436106812,0.858823759,0.436241655,0.628996336,0.077902313
0.417928428,0.624204793,0.697833044,0.963807385,0.032833544
0.120528237,0.868949494,0.570778782,0.850356019,0.043021588
0.427154105,0.344105602,0.509513897,0.517414315,0.09299491
0.164640783,0.974779174,0.621680147,0.719246778,0.06451279
0.428265965,0.218781013,0.709624489,0.636664876,0.053092494
0.096672416,0.570195893,0.904579026,0.184736898,0.278315643
0.580226895,0.947490978,0.403188799,0.203281371,0.364349247
0.221944959,0.894381271,0.215133457,0.670112462,0.079408743
0.516971346,0.086517866,0.679491226,0.972367685,0.023146673
0.08534646,0.225305079,0.636945784,0.155022056,0.280821056
0.554669575,0.330169351,0.383094128,0.702092767,0.060731612
0.299872962,0.900641171,0.29081645,0.752475319,0.066183377
0.747781464,0.677498298,0.270356402,0.641023169,0.077450138
0.07200428,0.045298426,0.65288556,0.293173174,0.11554441
0.576317218,0.504007764,0.388596149,0.66156734,0.075761674
0.055395706,0.387799293,0.745168421,0.060252329,0.560408582
0.524263264,0.569034376,0.655633024,0.115605352,0.551572458
0.464729943,0.119275008,0.895711769,0.730930633,0.045026463
0.19609061,0.12129673,0.568407098,0.241445669,0.206719878
0.183537131,0.878401464,0.988575407,0.631503869,0.08339178
0.359189954,0.212035069,0.983273199,0.382556303,0.134041063
0.363411098,0.938922234,0.679541155,0.298997807,0.27796008
0.922654053,0.292814565,0.049278836,0.690735202,0.066266935
0.870468903,0.790261453,0.870036614,0.55349441,0.131982689
0.461923709,0.119686065,0.028036288,0.061761878,0.579791967
0.029280389,0.604266053,0.974477646,0.401715356,0.118122463
0.917565361,0.076148542,0.965759613,0.403773102,0.106610143
0.811155936,0.605297329,0.147155476,0.703820745,0.074870337
0.319763998,0.221740987,0.268600193,0.218388852,0.235569029
0.928704756,0.463654021,0.530105903,0.567198242,0.097579265
0.88986351,0.812053881,0.199240568,0.521046934,0.150089583
0.21219675,0.335370018,0.37585988,0.811085592,0.039395456
0.612148413,0.293413373,0.648631942,0.587846423,0.061812053
0.954221689,0.1713273,0.002701858,0.192065947,0.30326378
0.232410101,0.429657894,0.645925335,0.82269447,0.04143066
0.119584969,0.089939717,0.135121943,0.919627947,0.021311428
0.041694963,0.156745387,0.076465651,0.746580321,0.034842284
0.762461956,0.170048261,0.906410912,0.887071053,0.029375064
0.521176249,0.102446719,0.443727238,0.412752896,0.119638518
0.014320989,0.759637629,0.016139269,0.105447187,0.413465056
0.76379934,0.099003824,0.764885406,0.811998221,0.038559303
0.726389662,0.797426998,0.305251898,0.670927492,0.097276007
0.21694735,0.073968793,0.92670843,0.322503543,0.134310008
0.693381179,0.406694445,0.823639892,0.820595549,0.045563594
0.115288246,0.050109596,0.724456404,0.132273159,0.291405161
0.331894172,0.17810356,0.521095067,0.650662097,0.048041129
0.194877362,0.890747762,0.516250694,0.92496016,0.042321259
0.517954639,0.382723087,0.067368002,0.734441802,0.056282609
0.582036719,0.829172912,0.619962866,0.26210794,0.32090364
0.127125101,0.366886066,0.087110111,0.372624521,0.149031965
0.014216647,0.143135045,0.369471984,0.518164941,0.067385683
0.685553398,0.745864652,0.299829727,0.845924972,0.046822764
0.761025387,0.526445592,0.577624257,0.007359047,0.771861671
0.589130129,0.478007283,0.793547978,0.694429134,0.058847302
0.702034103,0.234346352,0.454754715,0.057503906,0.633806393
0.621882141,0.132858024,0.38229737,0.142930507,0.340410086
0.785252577,0.329139815,0.872487367,0.099123247,0.50670149
0.988490169,0.252044909,0.931473603,0.751269118,0.040405546
0.960779399,0.360912727,0.907280432,0.770398846,0.047949143
0.13535137,0.091409292,0.185790087,0.440650544,0.091458232
0.63309459,0.687454545,0.603857855,0.036063461,0.800305921
0.33666011,0.573908684,0.482733216,0.74814624,0.059947943
0.521423961,0.231173639,0.01355796,0.524783594,0.06950823
0.910086988,0.649532788,0.301922426,0.841662222,0.044455502
0.853311134,0.643084832,0.344588473,0.388579879,0.208975318
0.75615793,0.042466476,0.204946619,0.670601113,0.055054728
0.884565762,0.311978681,0.664570663,0.513826431,0.098752668
0.427887293,0.619165221,0.89794728,0.094733445,0.549687034
0.035048001,0.144563833,0.254081256,0.237925009,0.191539418
0.255059195,0.721356151,0.003921986,0.060299889,0.642693269
0.38426591,0.758779554,0.068382405,0.316787896,0.209530478
0.191091173,0.963028262,0.587594336,0.459977004,0.157590188
0.429894091,0.476181281,0.535066286,0.926217315,0.036041352
0.610434268,0.800822352,0.935089988,0.089170797,0.571343517
0.735957513,0.024438752,0.380653734,0.409385673,0.118284334
0.894844119,0.821310981,0.134653828,0.380034259,0.181458567
0.548576192,0.829873727,0.006677527,0.073250563,0.656440887
0.074976614,0.582112826,0.07736032,0.256729342,0.250503329
0.027161306,0.577877986,0.461932481,0.808867532,0.043066141
0.996906454,0.673461286,0.292187923,0.149844854,0.433105818
0.020547696,0.178943539,0.55982298,0.370710802,0.105680584
0.617417106,0.512881893,0.660853942,0.30324176,0.253276234
0.374348848,0.318994661,0.434696625,0.262767731,0.247576343
0.956163416,0.1806477,0.307271774,0.99557405,0.020667688
0.564726636,0.201910576,0.217831144,0.201288319,0.296652776
0.59499643,0.390171434,0.244756423,0.279301456,0.25774332
0.188646024,0.49891847,0.714327822,0.854790483,0.029665286
0.317716466,0.407004423,0.808388453,0.73912726,0.050606375
0.225064504,0.598595387,0.179503032,0.69506819,0.063556697
0.115133444,0.961988534,0.800288075,0.767188775,0.063010497
0.245954544,0.391247721,0.594048633,0.070491825,0.604155457
0.900816705,0.422564481,0.941230824,0.744583703,0.064845971
0.14480788,0.077647671,0.511407251,0.282278269,0.131644325
0.372372975,0.17657636,0.428243235,0.539941915,0.075022572
0.209780173,0.074235608,0.875460178,0.827675122,0.026598351
0.518235229,0.247896637,0.632157058,0.295004608,0.216630586
0.737449883,0.111875479,0.692600473,0.586549587,0.068107046
0.643630223,0.15196262,0.64626651,0.749320232,0.035456292
0.658615537,0.568633993,0.743531019,0.73985066,0.066285138
0.308832812,0.219688004,0.732994816,0.421737219,0.123199262
0.749481169,0.075202602,0.694924462,0.053555966,0.479882611
0.181121611,0.568124364,0.017014812,0.68799953,0.062188553
0.277888399,0.381651028,0.829401825,0.855743159,0.029645533
0.475913835,0.26897902,0.328530181,0.302360396,0.183181137
0.583992516,0.684180919,0.463049015,0.510796227,0.117066698
0.191687188,0.692209082,0.816443871,0.920672831,0.033061036
0.039500282,0.953501136,0.330929728,0.961724643,0.027582797
0.393122619,0.842020426,0.988084506,0.400572993,0.196959281
0.961513081,0.437980026,0.932713915,0.122179867,0.47691343
0.431086158,0.603566119,0.773421404,0.994931867,0.029749939
0.353423916,0.708734616,0.412714243,0.393013421,0.179317074
0.598071082,0.476997272,0.692714424,0.325759551,0.225097162
0.090363983,0.797274826,0.947747401,0.355369343,0.193515794
0.771947318,0.5831905,0.630105695,0.505121386,0.139793922
0.615740512,0.214004745,0.066966599,0.167818302,0.347967949
0.673974036,0.979251187,0.157943772,0.334553954,0.25392131
0.73894073,0.209966891,0.305484207,0.961635184,0.020532896
0.943165468,0.296326675,0.703076324,0.694315545,0.060271821
0.592604008,0.441653036,0.102598031,0.697105407,0.068392332
0.860074106,0.943517253,0.206512583,0.746541829,0.069935778
0.663537644,0.198635243,0.86009763,0.925482686,0.026895347
0.51375544,0.19324495,0.354585069,0.338121657,0.173516617
0.741262163,0.009424984,0.816131361,0.354944478,0.145535948
0.233084727,0.614440079,0.966091244,0.504368709,0.119922082
0.950513773,0.083166726,0.917945044,0.37078113,0.116490437
0.704578985,0.039964425,0.971019325,0.687907113,0.051422537
0.525609991,0.600022681,0.191128986,0.555702024,0.08199442
0.380381577,0.835134866,0.121576149,0.54524885,0.099239264
0.323935958,0.769438344,0.286119791,0.299528835,0.213619924
0.293696594,0.722440564,0.017982542,0.839202922,0.037348021
0.261259773,0.714212321,0.975373202,0.878691323,0.035108492
0.824841505,0.985199163,0.098133194,0.619660973,0.106630569
0.00769984,0.312534562,0.179295841,0.502257054,0.076596791
